"Code","Country","Día30","ContagDía30","infoalawk","HDI","%poburb18","%pobrur18","GS_2017","PPP_2018","StringencyIndex","Día7","Indice","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)"
"NGA","Nigeria",2020-03-06,1,2,0.5341,50.34,49.66,3.75553853809834,2032.72970882575,82.87,2020-03-29,-1.022591,"Sin apoyo",215.064988965381,17
"NIC","Nicaragua",2020-04-24,11,1,0.6511,58.52,41.48,8.64546522498131,2020.54702818624,8.33,2020-04-02,-0.8024699,"Sin apoyo",53.7270483629716,6
"NLD","Netherlands",2020-03-05,82,2,0.9335,91.49,8.51,10.1008348166943,53048.0962104394,41.67,2020-03-12,1.850466,"Sin apoyo",511.475927574948,5
"NOR","Norway",2020-03-04,56,2,0.9537,82.25,17.75,10.4463420808315,81734.4655736102,62.96,2020-03-20,1.887119,"Más del 50% del sueldo",14.5482916341657,4
"NPL","Nepal",2020-02-03,1,2,0.5795,19.74,80.26,5.55329509079456,1038.65164702443,92.59,2020-05-22,-0.9023383,"Menos del 50% del sueldo",195.939107080572,3
"NZL","New Zealand",2020-03-06,4,2,0.9209,86.54,13.46,9.1700553894043,42949.9305849512,96.3,2020-04-04,1.670251,"Más del 50% del sueldo",18.3851733697923,5
"OMN","Oman",2020-03-30,179,2,0.8338,84.54,15.46,3.849071636796,16414.8880173692,85.19,2020-04-06,0.1865782,"Sin apoyo",15.6041453957997,NA
"PAK","Pakistan",2020-03-31,2118,2,0.5604,36.67,63.33,2.89863366633654,1482.30566684338,93.52,2020-03-24,-0.6338443,"Sin apoyo",275.289318700706,6
"PAN","Panama",2020-04-16,3751,1,0.7951,67.71,32.29,7.31949135661125,15592.573678922,51.85,2020-03-17,-0.019452,"Sin apoyo",56.1860774818402,6
"PER","Peru",2020-04-12,7519,2,0.7591,77.91,22.09,4.99515049159527,6941.23584763012,94.44,2020-03-26,-0.2454309,"Menos del 50% del sueldo",24.99160625,7
"PHL","Philippines",2020-02-08,3,2,0.7119,46.91,53.09,4.44640778005123,3252.09232412664,25,2020-02-08,0.0495094,"Sin apoyo",357.688305329175,6
"PNG","Papua New Guinea",2020-04-25,8,1,0.5431,13.17,86.83,2.46927607804537,2720.3852453824,45.37,2020-08-02,-0.6773402,"Menos del 50% del sueldo",19.0043633794109,NA
"POL","Poland",2020-04-10,5955,2,0.8718,60.06,39.94,6.5419539809227,15460.6442805468,57.41,2020-03-18,0.6626508,"Menos del 50% del sueldo",124.023482151605,5
"PRT","Portugal",2020-03-09,30,2,0.8502,65.21,34.79,8.96957442164421,23461.5718628115,82.41,2020-03-23,1.208909,"Menos del 50% del sueldo",112.2619412173,9
"PRY","Paraguay",2020-04-14,159,1,0.7243,61.58,38.42,6.65456876158714,5805.67561638869,93.52,2020-03-27,-0.5172144,"Sin apoyo",17.5083589227284,6
"QAT","Qatar",2020-03-07,8,1,0.8484,99.14,0.86,2.60742865502834,68793.7844372614,86.11,2020-04-03,0.6312364,"Más del 50% del sueldo",239.593195521103,9
"ROU","Romania",2020-03-04,4,2,0.8156,54,46,5.15788830816746,12408.5964891293,78.7,2020-03-28,-0.2534418,"Más del 50% del sueldo",84.633801286509,5
"RWA","Rwanda",2020-04-02,84,2,0.536,17.21,82.79,6.57159835100174,782.618140904879,56.48,2020-06-05,0.2068089,"Sin apoyo",498.659870287799,3
